logged_at,run_date,symbol,rank,score,coverage_pct,vetoed,veto_reasons,archetypes,close,atr,stop_suggested,tag,rs_pctile,median_turnover_cr,market_cap_cr,risk_flags
2026-07-25 03:22,2026-07-25,EQUITASBNK,1,89.5,60.0,False,,Momentum,78.41999816894531,3.24,70.32,CONFIRMED,86.6,22.78,nan,
2026-07-25 03:22,2026-07-25,PREMIERPOL,2,84.4,60.0,False,,,78.6500015258789,6.48,nan,EXTENDED,98.6,2.159,nan,
2026-07-25 03:22,2026-07-25,IRISDOREME,3,81.9,60.0,False,,Momentum,46.83000183105469,2.22,41.28,CONFIRMED,94.9,1.705,nan,
2026-07-25 03:22,2026-07-25,UJJIVANSFB,4,78.9,60.0,False,,,68.77999877929688,2.91,61.5,EXTENDED,88.9,96.315,nan,"no promoter (0.0%) — widely held, institutions 50%: professionally managed rather than promoter-driven, so there is no controlling owner whose interests you are riding along with"
2026-07-25 03:22,2026-07-25,DJML,5,78.6,100.0,False,,Hyper-growth + Momentum,109.38999938964844,6.99,91.91,CONFIRMED,91.2,4.866,411.0,
2026-07-25 03:22,2026-07-25,DHANBANK,6,78.1,60.0,False,,Momentum,34.36000061035156,1.58,30.41,CONFIRMED,88.0,4.345,nan,
2026-07-25 03:22,2026-07-25,SOUTHBANK,7,77.6,100.0,False,,Momentum,47.5,1.94,42.65,CONFIRMED,88.5,73.407,12179.0,
2026-07-25 03:22,2026-07-25,ESAFSFB,8,76.8,60.0,False,,Momentum,35.54999923706055,1.71,31.27,CONFIRMED,89.9,4.866,nan,
2026-07-25 03:22,2026-07-25,NIVABUPA,9,75.7,60.0,False,,,84.62000274658203,2.3,78.87,WATCH,83.4,8.963,nan,
2026-07-25 03:22,2026-07-25,ATALREAL,10,73.7,100.0,False,,Hyper-growth + Momentum,30.989999771118164,1.33,27.66,CONFIRMED,91.7,23.146,382.0,promoter sold 2.7 pts in 4 quarters
2026-07-25 03:22,2026-07-25,FILATEX,11,71.1,100.0,False,,Deleveraging,72.0,4.7,60.25,EXTENDED,96.8,22.715,3278.0,
2026-07-25 03:22,2026-07-25,NARMADA,12,71.1,60.0,False,,,35.209999084472656,1.75,30.83,WATCH,99.1,2.526,nan,
2026-07-25 03:22,2026-07-25,NSLNISP,13,70.8,60.0,False,,,41.650001525878906,0.91,39.38,ANTICIPATION,70.0,13.216,nan,
2026-07-25 03:22,2026-07-25,SUYOG,14,70.7,100.0,False,,Turnaround (margin-confirmed),841.0999755859375,31.91,761.32,WATCH,90.3,3.126,996.0,
2026-07-25 03:22,2026-07-25,SOUTHWEST,15,69.9,100.0,False,,Hyper-growth,236.19000244140625,11.44,207.59,WATCH,93.1,6.336,763.0,promoter sold 2.9 pts in 4 quarters
2026-07-25 03:22,2026-07-25,SHRIRAMPPS,16,68.5,100.0,False,,Hyper-growth,84.08000183105469,3.29,75.86,WATCH,68.7,4.71,1453.0,
2026-07-25 03:22,2026-07-25,CCAVENUE,17,68.2,100.0,False,,Hyper-growth,16.149999618530273,0.66,14.5,ANTICIPATION,81.8,22.872,5697.0,
2026-07-25 03:22,2026-07-25,MAHABANK,18,67.8,100.0,False,,,78.4800033569336,2.81,71.46,WATCH,92.6,111.311,62325.0,promoter sold 6.0 pts in 4 quarters
2026-07-25 03:22,2026-07-25,ANDHRSUGAR,19,67.6,100.0,False,,Deleveraging,85.41999816894531,3.63,76.34,WATCH,82.9,2.42,1170.0,
2026-07-25 03:22,2026-07-25,VISAKAIND,20,65.3,100.0,False,,,80.23999786376953,3.96,70.34,WATCH,82.5,1.049,690.0,
