logged_at,symbol,kind,old_tag,new_tag,close,atr,stop_suggested,conviction_score,coverage_pct,vetoed,veto_reasons,rs_pctile,archetypes,days_elapsed,return_to_date_pct,max_favorable_R,max_adverse_R,hit_suggested_stop,r_to_date,status,plan_entry_date,plan_entry_price,plan_stop,plan_sized,plan_followed_R,plan_R_trading_lot,plan_R_core_lot,plan_exit_reasons,plan_status
2026-07-07 18:40:00,ACUTAAS,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,3391.0,137.43,3047.43,62.2,100.0,False,,99.3421052631579,Quality + Hyper-growth,15,2.01,0.9,-0.08,False,0.2,open,2026-07-08,3395.0,3047.43,True,0.155,0.155,0.155,backtest_end,open
2026-07-07 18:40:00,ANANDRATHI,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,2052.0,69.59,1878.02,57.9,100.0,False,,93.25657894736842,Quality,15,-0.14,0.71,-0.19,False,-0.02,open,2026-07-08,2050.1,1878.02,True,-0.042,-0.042,-0.042,backtest_end,open
2026-07-07 18:40:00,BANDHANBNK,BUY CANDIDATE,WATCH,CONFIRMED,205.1000061035156,6.49,188.87,60.0,80.0,False,,78.61842105263158,(untagged — theme data Phase C),15,-19.14,0.96,-2.19,True,-1.0,stopped,2026-07-08,204.94,188.87,True,-1.094,-1.094,-1.094,stop_loss,closed
2026-07-07 18:40:00,CARBORUNIV,BUY CANDIDATE,WATCH,CONFIRMED,1106.0999755859375,56.57,,42.4,100.0,False,,80.3453947368421,(untagged — theme data Phase C),15,-4.52,,,False,,open,2026-07-08,1106.1,981.1,False,-0.426,-0.426,-0.426,backtest_end,open
2026-07-07 18:40:00,J&KBANK,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,163.7100067138672,4.84,151.61,58.6,100.0,False,,93.91447368421052,(untagged — theme data Phase C),15,5.93,3.14,-0.02,False,0.8,open,2026-07-08,165.0,151.61,True,0.897,1.205,0.59,backtest_end,open
2026-07-07 18:40:00,KARURVYSYA,BUY CANDIDATE,WATCH,CONFIRMED,304.3500061035156,7.7,285.11,57.8,80.0,False,,77.71381578947368,(untagged — theme data Phase C),15,10.69,2.26,-0.67,False,1.69,open,2026-07-08,304.95,285.11,True,1.562,1.562,1.562,backtest_end,open
2026-07-07 18:40:00,SYRMA,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,1356.0,54.14,1220.64,65.8,100.0,False,,98.84868421052632,(untagged — theme data Phase C),15,1.77,0.75,-0.3,False,0.18,open,2026-07-08,1344.8,1220.64,True,0.251,0.251,0.251,backtest_end,open
2026-07-07 18:40:00,AUROPHARMA,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,1583.0999755859375,37.89,1488.39,51.2,100.0,False,,86.51315789473685,(untagged — theme data Phase C),15,-3.77,0.3,-0.74,False,-0.63,open,2026-07-08,1575.5,1488.39,True,-0.651,-0.651,-0.651,backtest_end,open
2026-07-07 18:40:00,LAURUSLABS,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,1477.4000244140625,43.18,1369.45,64.6,100.0,False,,96.71052631578948,(untagged — theme data Phase C),15,6.15,1.14,-0.27,False,0.84,open,2026-07-08,1474.9,1369.45,True,0.842,0.842,0.842,backtest_end,open
2026-07-07 18:40:00,NAM-INDIA,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,1192.5999755859375,29.04,1120.01,62.2,100.0,False,,88.81578947368422,Quality,15,-7.28,0.55,-1.36,True,-1.0,stopped,2026-07-08,1169.0,1120.01,True,-1.07,-1.07,-1.07,stop_loss,closed
