symbol,company,industry,index_source
ACMESOLAR,ACME Solar Holdings Ltd.,Power,smallcap250
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,smallcap250
AARTIIND,Aarti Industries Ltd.,Chemicals,smallcap250
AAVAS,Aavas Financiers Ltd.,Financial Services,smallcap250
ACE,Action Construction Equipment Ltd.,Capital Goods,smallcap250
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,smallcap250
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,smallcap250
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,smallcap250
ABREL,Aditya Birla Real Estate Ltd.,Realty,smallcap250
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,smallcap250
CPPLUS,Aditya Infotech Ltd.,Capital Goods,smallcap250
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,smallcap250
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,smallcap250
AFCONS,Afcons Infrastructure Ltd.,Construction,smallcap250
AFFLE,Affle 3i Ltd.,Information Technology,smallcap250
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,smallcap250
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,smallcap250
AMBER,Amber Enterprises India Ltd.,Consumer Durables,smallcap250
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,smallcap250
ANANTRAJ,Anant Raj Ltd.,Realty,smallcap250
ANGELONE,Angel One Ltd.,Financial Services,smallcap250
ANURAS,Anupam Rasayan India Ltd.,Chemicals,smallcap250
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,smallcap250
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,smallcap250
ASTERDM,Aster DM Quality Care Ltd.,Healthcare,smallcap250
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,smallcap250
ATUL,Atul Ltd.,Chemicals,smallcap250
BEML,BEML Ltd.,Capital Goods,smallcap250
BLS,BLS International Services Ltd.,Consumer Services,smallcap250
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,smallcap250
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,smallcap250
BATAINDIA,Bata India Ltd.,Consumer Durables,smallcap250
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,smallcap250
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,smallcap250
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,smallcap250
BSOFT,Birlasoft Ltd.,Information Technology,smallcap250
BLUEDART,Blue Dart Express Ltd.,Services,smallcap250
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,smallcap250
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,smallcap250
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,smallcap250
BRIGADE,Brigade Enterprises Ltd.,Realty,smallcap250
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,smallcap250
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,smallcap250
CESC,CESC Ltd.,Power,smallcap250
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components,smallcap250
CANFINHOME,Can Fin Homes Ltd.,Financial Services,smallcap250
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,smallcap250
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,smallcap250
CGCL,Capri Global Capital Ltd.,Financial Services,smallcap250
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,smallcap250
CARTRADE,Cartrade Tech Ltd.,Consumer Services,smallcap250
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,smallcap250
CEATLTD,Ceat Ltd.,Automobile and Auto Components,smallcap250
CEMPRO,Cemindia Projects Ltd.,Construction,smallcap250
CENTRALBK,Central Bank of India,Financial Services,smallcap250
CDSL,Central Depository Services (India) Ltd.,Financial Services,smallcap250
CHALET,Chalet Hotels Ltd.,Consumer Services,smallcap250
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,smallcap250
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,smallcap250
CHOICEIN,Choice International Ltd.,Financial Services,smallcap250
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,smallcap250
CUB,City Union Bank Ltd.,Financial Services,smallcap250
CLEAN,Clean Science and Technology Ltd.,Chemicals,smallcap250
COHANCE,Cohance Lifesciences Ltd.,Healthcare,smallcap250
